Generation: 1 | 12.4762 0.936717  | Fitness: -4.12842
Generation: 2 | 12.7404 0.0714265  | Fitness: -4.12842
Generation: 3 | 12.7404 0.0714265  | Fitness: -4.12842
Generation: 4 | 11.7025 0.937487  | Fitness: -4.12842
Generation: 5 | 9.9329 0.58503  | Fitness: -4.12842
Generation: 6 | 9.9813 0.596458  | Fitness: -4.12842
Generation: 7 | 11.1897 0.881849  | Fitness: -4.12842
Generation: 8 | 11.1897 0.881849  | Fitness: -4.12842
Generation: 9 | 11.2069 0.883253  | Fitness: -4.12842
Generation: 10 | 10.0768 0.635897  | Fitness: -4.12842
Generation: 11 | 10.0768 0.635897  | Fitness: -4.12842
Generation: 12 | 10.0643 0.634635  | Fitness: -4.12842
Generation: 13 | 4.22433 0.227234  | Fitness: -4.12842
Generation: 14 | 10.7163 0.66803  | Fitness: -4.12842
Generation: 15 | 10.3503 0.645281  | Fitness: -4.12842
Generation: 16 | 0.78006 0.0397917  | Fitness: -4.12842
Generation: 17 | 0.804311 0.0415436  | Fitness: -4.12842
Generation: 18 | 1.12701 0.0687304  | Fitness: -4.12842
Generation: 19 | 0.0928529 0.005639  | Fitness: -4.12842
Generation: 20 | 10.0878 0.628267  | Fitness: -4.12842
Generation: 21 | 10.0878 0.628267  | Fitness: -4.12842
Generation: 22 | 9.72622 0.605749  | Fitness: -4.12842
Generation: 23 | 2.6573 0.177483  | Fitness: -4.12842
Generation: 24 | 2.45655 0.130037  | Fitness: -4.12842
Generation: 25 | 2.44746 0.131124  | Fitness: -4.12842
Generation: 26 | 2.81283 0.178912  | Fitness: -4.12842
Generation: 27 | 2.79725 0.177012  | Fitness: -4.12842
Generation: 28 | 2.79725 0.177012  | Fitness: -4.12842
Generation: 29 | 1.78836 0.0950919  | Fitness: -4.12842
Generation: 30 | 1.78836 0.0950919  | Fitness: -4.12842
Generation: 31 | 1.78836 0.0950919  | Fitness: -4.12842
Generation: 32 | 1.78836 0.0950919  | Fitness: -4.12842
Generation: 33 | 1.78981 0.0951701  | Fitness: -4.12842
Generation: 34 | 2.95177 0.157271  | Fitness: -4.12842
Generation: 35 | 2.95177 0.157271  | Fitness: -4.12842
Generation: 36 | 2.95177 0.157271  | Fitness: -4.12842
Generation: 37 | 0.448425 0.023796  | Fitness: -4.12842
Generation: 38 | 2.05813 0.108072  | Fitness: -4.12842
Generation: 39 | 2.85032 0.151747  | Fitness: -4.12842
Generation: 40 | 2.85032 0.151747  | Fitness: -4.12842
Generation: 41 | 2.76662 0.147291  | Fitness: -4.12842
Generation: 42 | 2.68892 0.143154  | Fitness: -4.12842
Generation: 43 | 2.59848 0.138336  | Fitness: -4.12842
Generation: 44 | 2.59848 0.138336  | Fitness: -4.12842
Generation: 45 | 2.60048 0.138412  | Fitness: -4.12842
Generation: 46 | 2.51061 0.133629  | Fitness: -4.12842
Generation: 47 | 2.67103 0.142197  | Fitness: -4.12842
Generation: 48 | 2.63441 0.140243  | Fitness: -4.12842
Generation: 49 | 0.33758 0.0178817  | Fitness: -4.12842
Generation: 50 | 0.103135 0.0054872  | Fitness: -4.12842
