Generation: 1 | 11.6665 0.183833  | Fitness: -4.12842
Generation: 2 | 6.62593 0.203131  | Fitness: -4.12842
Generation: 3 | 6.79987 0.221045  | Fitness: -4.12842
Generation: 4 | 6.79987 0.221045  | Fitness: -4.12842
Generation: 5 | 3.43036 0.500821  | Fitness: -4.12842
Generation: 6 | 12.6533 0.674002  | Fitness: -4.12842
Generation: 7 | 12.6533 0.674002  | Fitness: -4.12842
Generation: 8 | 12.4232 0.672129  | Fitness: -4.12842
Generation: 9 | 7.64349 0.278818  | Fitness: -4.12842
Generation: 10 | 7.64349 0.278818  | Fitness: -4.12842
Generation: 11 | 7.64349 0.278818  | Fitness: -4.12842
Generation: 12 | 7.81491 0.29314  | Fitness: -4.12842
Generation: 13 | 7.95476 0.305193  | Fitness: -4.12842
Generation: 14 | 7.95476 0.305193  | Fitness: -4.12842
Generation: 15 | 7.66965 0.294255  | Fitness: -4.12842
Generation: 16 | 9.01984 0.593836  | Fitness: -4.12842
Generation: 17 | 9.01984 0.593836  | Fitness: -4.12842
Generation: 18 | 11.295 0.616172  | Fitness: -4.12842
Generation: 19 | 11.1805 0.605299  | Fitness: -4.12842
Generation: 20 | 11.1805 0.605299  | Fitness: -4.12842
Generation: 21 | 11.0624 0.595907  | Fitness: -4.12842
Generation: 22 | 11.1763 0.604962  | Fitness: -4.12842
Generation: 23 | 11.1763 0.604962  | Fitness: -4.12842
Generation: 24 | 11.0796 0.602783  | Fitness: -4.12842
Generation: 25 | 10.0023 0.553043  | Fitness: -4.12842
Generation: 26 | 10.0023 0.553043  | Fitness: -4.12842
Generation: 27 | 10.0023 0.553043  | Fitness: -4.12842
Generation: 28 | 10.04 0.55478  | Fitness: -4.12842
Generation: 29 | 8.23021 0.378735  | Fitness: -4.12842
Generation: 30 | 8.23021 0.378735  | Fitness: -4.12842
Generation: 31 | 8.28876 0.384689  | Fitness: -4.12842
Generation: 32 | 8.34452 0.387275  | Fitness: -4.12842
Generation: 33 | 8.34452 0.387275  | Fitness: -4.12842
Generation: 34 | 8.36073 0.390884  | Fitness: -4.12842
Generation: 35 | 8.36015 0.390754  | Fitness: -4.12842
Generation: 36 | 8.35942 0.390628  | Fitness: -4.12842
Generation: 37 | 8.35942 0.390628  | Fitness: -4.12842
Generation: 38 | 8.97763 0.418604  | Fitness: -4.12842
Generation: 39 | 9.66609 0.526863  | Fitness: -4.12842
Generation: 40 | 9.66609 0.526863  | Fitness: -4.12842
Generation: 41 | 9.66609 0.526863  | Fitness: -4.12842
Generation: 42 | 9.61858 0.522101  | Fitness: -4.12842
Generation: 43 | 9.61858 0.522101  | Fitness: -4.12842
Generation: 44 | 9.56715 0.517197  | Fitness: -4.12842
Generation: 45 | 9.56715 0.517197  | Fitness: -4.12842
Generation: 46 | 5.31785 0.289651  | Fitness: -4.12842
Generation: 47 | 1.86482 0.0959428  | Fitness: -4.12842
Generation: 48 | 1.86482 0.0959428  | Fitness: -4.12842
Generation: 49 | 7.88973 0.373052  | Fitness: -4.12842
Generation: 50 | 9.25228 0.496373  | Fitness: -4.12842
