Generation: 1 | 17.2317 0.41451  | Fitness: -4.12842
Generation: 2 | 16.7386 0.40816  | Fitness: -4.12842
Generation: 3 | 3.83048 0.384831  | Fitness: -4.12842
Generation: 4 | 4.12963 0.400641  | Fitness: -4.12842
Generation: 5 | 4.55011 0.310939  | Fitness: -4.12842
Generation: 6 | 5.04023 0.313732  | Fitness: -4.12842
Generation: 7 | 10.9246 0.74329  | Fitness: -4.12842
Generation: 8 | 0.798776 0.0544253  | Fitness: -4.12842
Generation: 9 | 10.9944 0.196136  | Fitness: -4.12842
Generation: 10 | 5.02499 0.201775  | Fitness: -4.12842
Generation: 11 | 5.02499 0.201775  | Fitness: -4.12842
Generation: 12 | 4.9467 0.312361  | Fitness: -4.12842
Generation: 13 | 4.9467 0.312361  | Fitness: -4.12842
Generation: 14 | 3.06366 0.212916  | Fitness: -4.12842
Generation: 15 | 5.07065 0.207816  | Fitness: -4.12842
Generation: 16 | 10.1759 0.284666  | Fitness: -4.12842
Generation: 17 | 9.99277 0.307196  | Fitness: -4.12842
Generation: 18 | 6.37062 0.307399  | Fitness: -4.12842
Generation: 19 | 4.93271 0.306071  | Fitness: -4.12842
Generation: 20 | 5.10197 0.303607  | Fitness: -4.12842
Generation: 21 | 5.25234 0.302782  | Fitness: -4.12842
Generation: 22 | 5.25234 0.302782  | Fitness: -4.12842
Generation: 23 | 5.25234 0.302782  | Fitness: -4.12842
Generation: 24 | 5.25234 0.302782  | Fitness: -4.12842
Generation: 25 | 5.25234 0.302782  | Fitness: -4.12842
Generation: 26 | 4.97001 0.261468  | Fitness: -4.12842
Generation: 27 | 5.06729 0.29121  | Fitness: -4.12842
Generation: 28 | 5.09114 0.292395  | Fitness: -4.12842
Generation: 29 | 5.09114 0.292395  | Fitness: -4.12842
Generation: 30 | 5.09114 0.292395  | Fitness: -4.12842
Generation: 31 | 5.08542 0.290977  | Fitness: -4.12842
Generation: 32 | 5.24059 0.30135  | Fitness: -4.12842
Generation: 33 | 5.25356 0.301869  | Fitness: -4.12842
Generation: 34 | 5.25356 0.301869  | Fitness: -4.12842
Generation: 35 | 5.57752 0.314828  | Fitness: -4.12842
Generation: 36 | 5.12091 0.29269  | Fitness: -4.12842
Generation: 37 | 5.15906 0.294599  | Fitness: -4.12842
Generation: 38 | 5.3681 0.302398  | Fitness: -4.12842
Generation: 39 | 5.36089 0.302129  | Fitness: -4.12842
Generation: 40 | 5.37748 0.302918  | Fitness: -4.12842
Generation: 41 | 5.37716 0.302906  | Fitness: -4.12842
Generation: 42 | 5.37716 0.302906  | Fitness: -4.12842
Generation: 43 | 5.20214 0.293097  | Fitness: -4.12842
Generation: 44 | 5.20814 0.293438  | Fitness: -4.12842
Generation: 45 | 5.20814 0.293438  | Fitness: -4.12842
Generation: 46 | 6.47566 0.359068  | Fitness: -4.12842
Generation: 47 | 5.07359 0.28565  | Fitness: -4.12842
Generation: 48 | 5.07359 0.28565  | Fitness: -4.12842
Generation: 49 | 5.18837 0.29239  | Fitness: -4.12842
Generation: 50 | 5.18837 0.29239  | Fitness: -4.12842
