Generation: 1 | 11.6175 0.954866  | Fitness: -4.12842
Generation: 2 | 11.5616 0.943443  | Fitness: -4.12842
Generation: 3 | 11.4118 0.921192  | Fitness: -4.12842
Generation: 4 | 7.36928 0.440738  | Fitness: -4.12842
Generation: 5 | 7.36928 0.440738  | Fitness: -4.12842
Generation: 6 | 7.56224 0.46463  | Fitness: -4.12842
Generation: 7 | 3.53978 0.163421  | Fitness: -4.12842
Generation: 8 | 3.54458 0.163913  | Fitness: -4.12842
Generation: 9 | 3.54458 0.163913  | Fitness: -4.12842
Generation: 10 | 0.825285 0.0624282  | Fitness: -4.12842
Generation: 11 | 0.825285 0.0624282  | Fitness: -4.12842
Generation: 12 | 6.90848 0.428795  | Fitness: -4.12842
Generation: 13 | 0.60412 0.0483031  | Fitness: -4.12842
Generation: 14 | 6.21524 0.743515  | Fitness: -4.12842
Generation: 15 | 6.01413 0.718598  | Fitness: -4.12842
Generation: 16 | 5.80428 0.69316  | Fitness: -4.12842
Generation: 17 | 5.80428 0.69316  | Fitness: -4.12842
Generation: 18 | 0.202073 0.0240583  | Fitness: -4.12842
Generation: 19 | 5.44248 0.647885  | Fitness: -4.12842
Generation: 20 | 5.44248 0.647885  | Fitness: -4.12842
Generation: 21 | 12.1589 0.721228  | Fitness: -4.12842
Generation: 22 | 12.0998 0.716744  | Fitness: -4.12842
Generation: 23 | 11.8635 0.713576  | Fitness: -4.12842
Generation: 24 | 11.8635 0.713576  | Fitness: -4.12842
Generation: 25 | 11.8635 0.713576  | Fitness: -4.12842
Generation: 26 | 11.8719 0.71369  | Fitness: -4.12842
Generation: 27 | 1.6226 0.0966969  | Fitness: -4.12842
Generation: 28 | 1.97549 0.117954  | Fitness: -4.12842
Generation: 29 | 1.97549 0.117954  | Fitness: -4.12842
Generation: 30 | 1.97549 0.117954  | Fitness: -4.12842
Generation: 31 | 11.1981 0.658916  | Fitness: -4.12842
Generation: 32 | 10.814 0.649665  | Fitness: -4.12842
Generation: 33 | 10.814 0.649665  | Fitness: -4.12842
Generation: 34 | 11.0923 0.659669  | Fitness: -4.12842
Generation: 35 | 10.7994 0.642181  | Fitness: -4.12842
Generation: 36 | 10.5276 0.625946  | Fitness: -4.12842
Generation: 37 | 10.5276 0.625946  | Fitness: -4.12842
Generation: 38 | 10.5276 0.625946  | Fitness: -4.12842
Generation: 39 | 2.93499 0.17534  | Fitness: -4.12842
Generation: 40 | 2.93499 0.17534  | Fitness: -4.12842
Generation: 41 | 2.93499 0.17534  | Fitness: -4.12842
Generation: 42 | 2.93499 0.17534  | Fitness: -4.12842
Generation: 43 | 2.43932 0.148962  | Fitness: -4.12842
Generation: 44 | 2.43932 0.148962  | Fitness: -4.12842
Generation: 45 | 2.43932 0.148962  | Fitness: -4.12842
Generation: 46 | 2.43932 0.148962  | Fitness: -4.12842
Generation: 47 | 2.68361 0.16353  | Fitness: -4.12842
Generation: 48 | 3.1037 0.18602  | Fitness: -4.12842
Generation: 49 | 3.1037 0.18602  | Fitness: -4.12842
Generation: 50 | 2.51714 0.153297  | Fitness: -4.12842
