Generation: 1 | 0.969742 0.364903  | Fitness: -6.84649
Generation: 2 | 1.40812 0.366303  | Fitness: -6.84627
Generation: 3 | 1.40812 0.366303  | Fitness: -6.84627
Generation: 4 | 1.48516 0.384519  | Fitness: -6.84632
Generation: 5 | 1.46096 0.382456  | Fitness: -6.84629
Generation: 6 | 0.0598316 0.0129754  | Fitness: -6.84653
Generation: 7 | 0.0598316 0.0129754  | Fitness: -6.84653
Generation: 8 | 0.662398 0.0327128  | Fitness: -6.8464
Generation: 9 | 0.0621201 0.0103821  | Fitness: -6.84653
Generation: 10 | 0.160486 0.0236287  | Fitness: -6.84653
Generation: 11 | 0.141891 0.0209051  | Fitness: -6.84653
Generation: 12 | 0.00508553 0.000749262  | Fitness: -6.84653
Generation: 13 | 0.058218 0.0105511  | Fitness: -6.84653
Generation: 14 | 0.058218 0.0105511  | Fitness: -6.84653
Generation: 15 | 0.243495 0.0324292  | Fitness: -6.84653
Generation: 16 | 0.243495 0.0324292  | Fitness: -6.84653
Generation: 17 | 0.371249 0.0361291  | Fitness: -6.84653
Generation: 18 | 0.392049 0.0372394  | Fitness: -6.84653
Generation: 19 | 0.429202 0.044894  | Fitness: -6.84653
Generation: 20 | 0.446122 0.0455832  | Fitness: -6.84653
Generation: 21 | 0.446122 0.0455832  | Fitness: -6.84653
Generation: 22 | 0.434351 0.0444764  | Fitness: -6.84653
Generation: 23 | 0.419792 0.0429843  | Fitness: -6.84653
Generation: 24 | 0.409386 0.0420104  | Fitness: -6.84653
Generation: 25 | 0.409386 0.0420104  | Fitness: -6.84653
Generation: 26 | 0.463789 0.044686  | Fitness: -6.84653
Generation: 27 | 0.514293 0.0471699  | Fitness: -6.84653
Generation: 28 | 0.443659 0.0432233  | Fitness: -6.84653
Generation: 29 | 0.443659 0.0432233  | Fitness: -6.84653
Generation: 30 | 0.457686 0.0455501  | Fitness: -6.84653
Generation: 31 | 0.445924 0.0444885  | Fitness: -6.84653
Generation: 32 | 0.456482 0.0454719  | Fitness: -6.84653
Generation: 33 | 0.458372 0.0455226  | Fitness: -6.84653
Generation: 34 | 0.458372 0.0455226  | Fitness: -6.84653
Generation: 35 | 0.458372 0.0455226  | Fitness: -6.84653
Generation: 36 | 0.458372 0.0455226  | Fitness: -6.84653
Generation: 37 | 0.0693333 0.00578321  | Fitness: -6.84653
Generation: 38 | 0.436859 0.0439336  | Fitness: -6.84653
Generation: 39 | 0.439473 0.0440168  | Fitness: -6.84653
Generation: 40 | 0.464035 0.0450334  | Fitness: -6.84653
Generation: 41 | 0.464035 0.0450334  | Fitness: -6.84653
Generation: 42 | 0.383086 0.0388936  | Fitness: -6.84653
Generation: 43 | 0.383086 0.0388936  | Fitness: -6.84653
Generation: 44 | 0.385851 0.039105  | Fitness: -6.84653
Generation: 45 | 0.385851 0.039105  | Fitness: -6.84653
Generation: 46 | 0.372989 0.0378017  | Fitness: -6.84653
Generation: 47 | 0.372989 0.0378017  | Fitness: -6.84653
Generation: 48 | 0.373047 0.0378058  | Fitness: -6.84653
Generation: 49 | 0.43016 0.042019  | Fitness: -6.84653
Generation: 50 | 0.426977 0.0417498  | Fitness: -6.84653
