Generation: 1 | 0.247355 0.835251  | Fitness: -6.84653
Generation: 2 | 0.247355 0.835251  | Fitness: -6.84653
Generation: 3 | 0.30096 0.827129  | Fitness: -6.84653
Generation: 4 | 0.421101 0.61703  | Fitness: -6.84653
Generation: 5 | 0.406008 0.594915  | Fitness: -6.84653
Generation: 6 | 0.507548 0.597994  | Fitness: -6.84653
Generation: 7 | 0.507548 0.597994  | Fitness: -6.84653
Generation: 8 | 0.639562 0.595825  | Fitness: -6.84653
Generation: 9 | 0.835877 0.605711  | Fitness: -6.84653
Generation: 10 | 0.639562 0.595825  | Fitness: -6.84653
Generation: 11 | 0.916513 0.567287  | Fitness: -6.84653
Generation: 12 | 0.660236 0.568052  | Fitness: -6.84653
Generation: 13 | 0.912948 0.564814  | Fitness: -6.84653
Generation: 14 | 0.643966 0.549719  | Fitness: -6.84653
Generation: 15 | 0.643966 0.549719  | Fitness: -6.84653
Generation: 16 | 0.643966 0.549719  | Fitness: -6.84653
Generation: 17 | 0.643966 0.549719  | Fitness: -6.84653
Generation: 18 | 0.643966 0.549719  | Fitness: -6.84653
Generation: 19 | 0.643283 0.549101  | Fitness: -6.84653
Generation: 20 | 0.643283 0.549101  | Fitness: -6.84653
Generation: 21 | 0.643965 0.549718  | Fitness: -6.84653
Generation: 22 | 0.248654 0.0826597  | Fitness: -6.84653
Generation: 23 | 0.0363902 0.00574385  | Fitness: -6.84653
Generation: 24 | 0.0500316 0.0218834  | Fitness: -6.84653
Generation: 25 | 0.746422 0.494313  | Fitness: -6.84653
Generation: 26 | 0.721751 0.477468  | Fitness: -6.84653
Generation: 27 | 0.765924 0.496136  | Fitness: -6.84653
Generation: 28 | 0.764512 0.479832  | Fitness: -6.84653
Generation: 29 | 0.898997 0.480668  | Fitness: -6.84653
Generation: 30 | 0.770839 0.464808  | Fitness: -6.84653
Generation: 31 | 0.770839 0.464808  | Fitness: -6.84653
Generation: 32 | 0.764662 0.465358  | Fitness: -6.84653
Generation: 33 | 0.764662 0.465358  | Fitness: -6.84653
Generation: 34 | 0.764662 0.465358  | Fitness: -6.84653
Generation: 35 | 0.768727 0.464895  | Fitness: -6.84653
Generation: 36 | 0.768727 0.464895  | Fitness: -6.84653
Generation: 37 | 0.753896 0.451408  | Fitness: -6.84653
Generation: 38 | 0.753582 0.451366  | Fitness: -6.84653
Generation: 39 | 0.753582 0.451366  | Fitness: -6.84653
Generation: 40 | 0.394756 0.125402  | Fitness: -6.84653
Generation: 41 | 0.751704 0.449783  | Fitness: -6.84653
Generation: 42 | 0.734027 0.438183  | Fitness: -6.84653
Generation: 43 | 0.715265 0.426842  | Fitness: -6.84653
Generation: 44 | 0.750589 0.442942  | Fitness: -6.84653
Generation: 45 | 0.750589 0.442942  | Fitness: -6.84653
Generation: 46 | 0.750589 0.442942  | Fitness: -6.84653
Generation: 47 | 0.750585 0.443793  | Fitness: -6.84653
Generation: 48 | 0.725533 0.428984  | Fitness: -6.84653
Generation: 49 | 0.725533 0.428984  | Fitness: -6.84653
Generation: 50 | 0.726426 0.429486  | Fitness: -6.84653
