Generation: 1 | 1.00031 0.958749  | Fitness: -6.83175
Generation: 2 | 4.46762 0.434396  | Fitness: -6.83459
Generation: 3 | 1.22543 0.696466  | Fitness: -6.84043
Generation: 4 | 1.44655 0.563762  | Fitness: -6.84228
Generation: 5 | 1.3947 0.543556  | Fitness: -6.84345
Generation: 6 | 0.0499876 0.0194817  | Fitness: -6.84653
Generation: 7 | 0.311587 0.0405755  | Fitness: -6.84653
Generation: 8 | 0.349988 0.0637046  | Fitness: -6.84653
Generation: 9 | 0.710856 0.0863136  | Fitness: -6.84644
Generation: 10 | 1.58448 0.443984  | Fitness: -6.84638
Generation: 11 | 1.58448 0.443984  | Fitness: -6.84638
Generation: 12 | 1.01099 0.129363  | Fitness: -6.8463
Generation: 13 | 1.04203 0.140931  | Fitness: -6.84632
Generation: 14 | 1.06666 0.158354  | Fitness: -6.84633
Generation: 15 | 0.0612622 0.0160761  | Fitness: -6.84653
Generation: 16 | 0.0612622 0.0160761  | Fitness: -6.84653
Generation: 17 | 0.00219571 0.000576187  | Fitness: -6.84653
Generation: 18 | 0.00380664 0.000755358  | Fitness: -6.84653
Generation: 19 | 0.00380664 0.000755358  | Fitness: -6.84653
Generation: 20 | 0.00380664 0.000755358  | Fitness: -6.84653
Generation: 21 | 0.162873 0.0180642  | Fitness: -6.84653
Generation: 22 | 0.162873 0.0180642  | Fitness: -6.84653
Generation: 23 | 0.215601 0.0237577  | Fitness: -6.84653
Generation: 24 | 0.207937 0.0229136  | Fitness: -6.84653
Generation: 25 | 0.228353 0.0236127  | Fitness: -6.84653
Generation: 26 | 0.00850984 0.000882634  | Fitness: -6.84653
Generation: 27 | 0.0366311 0.0025196  | Fitness: -6.84653
Generation: 28 | 0.0366311 0.0025196  | Fitness: -6.84653
Generation: 29 | 0.0373419 0.00268199  | Fitness: -6.84653
Generation: 30 | 0.0550917 0.00673732  | Fitness: -6.84653
Generation: 31 | 0.044111 0.00355052  | Fitness: -6.84653
Generation: 32 | 0.044111 0.00355052  | Fitness: -6.84653
Generation: 33 | 0.044111 0.00355052  | Fitness: -6.84653
Generation: 34 | 0.044111 0.00355052  | Fitness: -6.84653
Generation: 35 | 0.044111 0.00355052  | Fitness: -6.84653
Generation: 36 | 0.0638665 0.00557089  | Fitness: -6.84653
Generation: 37 | 0.0521663 0.00440469  | Fitness: -6.84653
Generation: 38 | 0.0521663 0.00440469  | Fitness: -6.84653
Generation: 39 | 0.0521663 0.00440469  | Fitness: -6.84653
Generation: 40 | 0.0587424 0.00505745  | Fitness: -6.84653
Generation: 41 | 0.0587424 0.00505745  | Fitness: -6.84653
Generation: 42 | 0.0587424 0.00505745  | Fitness: -6.84653
Generation: 43 | 0.132528 0.0120033  | Fitness: -6.84653
Generation: 44 | 0.132528 0.0120033  | Fitness: -6.84653
Generation: 45 | 0.132528 0.0120033  | Fitness: -6.84653
Generation: 46 | 0.031804 0.00193585  | Fitness: -6.84653
Generation: 47 | 0.0352798 0.00228327  | Fitness: -6.84653
Generation: 48 | 0.0352798 0.00228327  | Fitness: -6.84653
Generation: 49 | 0.16689 0.0134212  | Fitness: -6.84653
Generation: 50 | 0.16689 0.0134212  | Fitness: -6.84653
