Generation: 1 | 18.2828 0.128316  | Fitness: -56.9229
Generation: 2 | 17.8872 0.188296  | Fitness: -56.1764
Generation: 3 | 17.8872 0.188296  | Fitness: -56.1764
Generation: 4 | 17.8872 0.188296  | Fitness: -56.1764
Generation: 5 | 17.6749 0.186296  | Fitness: -55.8694
Generation: 6 | 17.6749 0.186296  | Fitness: -55.8694
Generation: 7 | 17.5282 0.183466  | Fitness: -55.9614
Generation: 8 | 17.5282 0.183466  | Fitness: -55.9614
Generation: 9 | 17.1867 0.182274  | Fitness: -55.7354
Generation: 10 | 17.1867 0.182274  | Fitness: -55.7354
Generation: 11 | 17.1867 0.182274  | Fitness: -55.7354
Generation: 12 | 16.8696 0.181168  | Fitness: -55.401
Generation: 13 | 16.8671 0.181112  | Fitness: -55.4044
Generation: 14 | 16.851 0.181642  | Fitness: -55.3837
Generation: 15 | 16.8476 0.18161  | Fitness: -55.3685
Generation: 16 | 16.7783 0.181023  | Fitness: -55.2746
Generation: 17 | 16.7783 0.181023  | Fitness: -55.2746
Generation: 18 | 16.7884 0.181894  | Fitness: -55.275
Generation: 19 | 16.7884 0.181894  | Fitness: -55.275
Generation: 20 | 16.7965 0.18269  | Fitness: -55.1725
Generation: 21 | 16.7965 0.18269  | Fitness: -55.1725
Generation: 22 | 16.7928 0.182675  | Fitness: -55.1725
Generation: 23 | 16.7917 0.182663  | Fitness: -55.1725
Generation: 24 | 16.7929 0.182675  | Fitness: -55.1725
Generation: 25 | 16.7929 0.182675  | Fitness: -55.1725
Generation: 26 | 16.792 0.182664  | Fitness: -55.1725
Generation: 27 | 16.792 0.182664  | Fitness: -55.1725
Generation: 28 | 16.792 0.182664  | Fitness: -55.1725
Generation: 29 | 16.7853 0.182632  | Fitness: -55.194
Generation: 30 | 16.7853 0.182632  | Fitness: -55.194
Generation: 31 | 16.7853 0.182632  | Fitness: -55.194
Generation: 32 | 16.7853 0.182632  | Fitness: -55.194
Generation: 33 | 16.7853 0.182632  | Fitness: -55.194
Generation: 34 | 16.7853 0.182632  | Fitness: -55.194
Generation: 35 | 16.7853 0.182632  | Fitness: -55.194
Generation: 36 | 16.7844 0.182623  | Fitness: -55.194
Generation: 37 | 16.7844 0.182623  | Fitness: -55.194
Generation: 38 | 16.7612 0.182369  | Fitness: -55.1605
Generation: 39 | 16.7612 0.182369  | Fitness: -55.1605
Generation: 40 | 16.7612 0.182369  | Fitness: -55.1605
Generation: 41 | 16.7456 0.1822  | Fitness: -55.1326
Generation: 42 | 16.7477 0.183157  | Fitness: -54.9755
Generation: 43 | 16.7337 0.182972  | Fitness: -54.9566
Generation: 44 | 16.7194 0.182784  | Fitness: -54.9335
Generation: 45 | 16.7194 0.182784  | Fitness: -54.9335
Generation: 46 | 16.7194 0.182784  | Fitness: -54.9335
Generation: 47 | 16.7194 0.182784  | Fitness: -54.9335
Generation: 48 | 16.6645 0.182246  | Fitness: -54.99
Generation: 49 | 16.6665 0.182266  | Fitness: -54.99
Generation: 50 | 16.6136 0.181747  | Fitness: -54.9466
