Generation: 1 | 17.3206 0.0914829  | Fitness: -56.2406
Generation: 2 | 14.6763 0.0972586  | Fitness: -54.4034
Generation: 3 | 14.6763 0.0972586  | Fitness: -54.4034
Generation: 4 | 14.6763 0.0972586  | Fitness: -54.4034
Generation: 5 | 14.6763 0.0972586  | Fitness: -54.4034
Generation: 6 | 14.6679 0.110926  | Fitness: -54.312
Generation: 7 | 14.6679 0.110926  | Fitness: -54.312
Generation: 8 | 14.6679 0.110926  | Fitness: -54.312
Generation: 9 | 14.6679 0.110926  | Fitness: -54.312
Generation: 10 | 14.6679 0.110926  | Fitness: -54.312
Generation: 11 | 14.6515 0.110916  | Fitness: -54.2271
Generation: 12 | 14.6409 0.110945  | Fitness: -54.226
Generation: 13 | 14.2267 0.110661  | Fitness: -53.9927
Generation: 14 | 14.2267 0.110661  | Fitness: -53.9927
Generation: 15 | 14.2267 0.110661  | Fitness: -53.9927
Generation: 16 | 14.2267 0.110661  | Fitness: -53.9927
Generation: 17 | 14.2267 0.110661  | Fitness: -53.9927
Generation: 18 | 14.2267 0.110661  | Fitness: -53.9927
Generation: 19 | 14.2267 0.110661  | Fitness: -53.9927
Generation: 20 | 14.2267 0.110661  | Fitness: -53.9927
Generation: 21 | 14.2114 0.110682  | Fitness: -53.9543
Generation: 22 | 14.1762 0.110228  | Fitness: -53.9096
Generation: 23 | 14.1762 0.110228  | Fitness: -53.9096
Generation: 24 | 14.1762 0.110228  | Fitness: -53.9096
Generation: 25 | 14.1521 0.110134  | Fitness: -53.7806
Generation: 26 | 14.1554 0.110292  | Fitness: -53.7806
Generation: 27 | 14.1554 0.110292  | Fitness: -53.7806
Generation: 28 | 14.1539 0.110278  | Fitness: -53.7806
Generation: 29 | 14.1525 0.110266  | Fitness: -53.7806
Generation: 30 | 14.1519 0.113474  | Fitness: -53.7375
Generation: 31 | 14.1571 0.117201  | Fitness: -53.8407
Generation: 32 | 14.1505 0.113369  | Fitness: -53.7375
Generation: 33 | 14.1501 0.114158  | Fitness: -53.7075
Generation: 34 | 14.1501 0.114158  | Fitness: -53.7075
Generation: 35 | 14.1489 0.114022  | Fitness: -53.7075
Generation: 36 | 14.1489 0.114022  | Fitness: -53.7075
Generation: 37 | 14.1473 0.114003  | Fitness: -53.7075
Generation: 38 | 14.1475 0.114035  | Fitness: -53.7075
Generation: 39 | 14.1474 0.114029  | Fitness: -53.7075
Generation: 40 | 14.1303 0.113902  | Fitness: -53.6853
Generation: 41 | 14.1143 0.113785  | Fitness: -53.6536
Generation: 42 | 14.0659 0.114447  | Fitness: -53.7164
Generation: 43 | 14.0655 0.114405  | Fitness: -53.7164
Generation: 44 | 14.0199 0.113898  | Fitness: -53.6608
Generation: 45 | 14.0199 0.113898  | Fitness: -53.6608
Generation: 46 | 14.0199 0.113898  | Fitness: -53.6608
Generation: 47 | 14.0234 0.114027  | Fitness: -53.6608
Generation: 48 | 14.0234 0.114027  | Fitness: -53.6608
Generation: 49 | 14.0234 0.114027  | Fitness: -53.6608
Generation: 50 | 14.0234 0.114027  | Fitness: -53.6608
