Generation: 1 | 19.9285 0.105163  | Fitness: -57.558
Generation: 2 | 17.8142 0.102364  | Fitness: -56.6404
Generation: 3 | 17.6734 0.100326  | Fitness: -56.5483
Generation: 4 | 17.6734 0.100326  | Fitness: -56.5483
Generation: 5 | 17.1169 0.0980863  | Fitness: -56.395
Generation: 6 | 16.5655 0.131868  | Fitness: -55.8389
Generation: 7 | 16.5655 0.131868  | Fitness: -55.8389
Generation: 8 | 16.0537 0.130702  | Fitness: -55.3783
Generation: 9 | 16.0537 0.130702  | Fitness: -55.3783
Generation: 10 | 16.0537 0.130702  | Fitness: -55.3783
Generation: 11 | 16.216 0.165  | Fitness: -55.0723
Generation: 12 | 16.216 0.165  | Fitness: -55.0723
Generation: 13 | 16.1896 0.163603  | Fitness: -55.1475
Generation: 14 | 15.7129 0.160139  | Fitness: -54.823
Generation: 15 | 15.2868 0.159308  | Fitness: -54.2702
Generation: 16 | 14.7331 0.133781  | Fitness: -54.1652
Generation: 17 | 15.3135 0.174415  | Fitness: -53.8088
Generation: 18 | 15.2745 0.172796  | Fitness: -53.7182
Generation: 19 | 15.2745 0.172796  | Fitness: -53.7182
Generation: 20 | 15.2478 0.172114  | Fitness: -53.7182
Generation: 21 | 15.2715 0.173572  | Fitness: -53.8077
Generation: 22 | 15.2715 0.173572  | Fitness: -53.8077
Generation: 23 | 15.2587 0.173198  | Fitness: -53.8077
Generation: 24 | 15.2339 0.17202  | Fitness: -53.6666
Generation: 25 | 15.2339 0.17202  | Fitness: -53.6666
Generation: 26 | 15.2339 0.17202  | Fitness: -53.6666
Generation: 27 | 15.2339 0.17202  | Fitness: -53.6666
Generation: 28 | 15.233 0.172013  | Fitness: -53.6666
Generation: 29 | 15.2447 0.17323  | Fitness: -53.7846
Generation: 30 | 15.2446 0.17321  | Fitness: -53.7846
Generation: 31 | 15.2325 0.172771  | Fitness: -53.8047
Generation: 32 | 15.2325 0.172771  | Fitness: -53.8047
Generation: 33 | 15.2429 0.173185  | Fitness: -53.7846
Generation: 34 | 15.2432 0.173205  | Fitness: -53.7846
Generation: 35 | 15.2449 0.173242  | Fitness: -53.7846
Generation: 36 | 15.2449 0.173242  | Fitness: -53.7846
Generation: 37 | 15.2436 0.173233  | Fitness: -53.7846
Generation: 38 | 15.2417 0.173182  | Fitness: -53.7846
Generation: 39 | 15.2421 0.173209  | Fitness: -53.7827
Generation: 40 | 15.241 0.173175  | Fitness: -53.7827
Generation: 41 | 15.2413 0.173193  | Fitness: -53.7827
Generation: 42 | 15.243 0.173304  | Fitness: -53.7425
Generation: 43 | 15.243 0.173304  | Fitness: -53.7425
Generation: 44 | 15.2235 0.173008  | Fitness: -53.7274
Generation: 45 | 15.2227 0.17301  | Fitness: -53.7274
Generation: 46 | 15.2228 0.173  | Fitness: -53.7274
Generation: 47 | 15.225 0.173151  | Fitness: -53.672
Generation: 48 | 15.2241 0.173151  | Fitness: -53.672
Generation: 49 | 15.2241 0.173151  | Fitness: -53.672
Generation: 50 | 15.2241 0.173152  | Fitness: -53.672
