Generation: 1 | 17.153 0.0607403  | Fitness: -56.3054
Generation: 2 | 11.1585 0.0489274  | Fitness: -50.8388
Generation: 3 | 11.1585 0.0489274  | Fitness: -50.8388
Generation: 4 | 10.0715 0.0574775  | Fitness: -49.3092
Generation: 5 | 10.1643 0.0791243  | Fitness: -49.0163
Generation: 6 | 10.1643 0.0791243  | Fitness: -49.0163
Generation: 7 | 10.1643 0.0791243  | Fitness: -49.0163
Generation: 8 | 10.1524 0.0831324  | Fitness: -49.0682
Generation: 9 | 10.1528 0.079268  | Fitness: -49.1495
Generation: 10 | 9.90364 0.0824373  | Fitness: -48.6646
Generation: 11 | 9.90326 0.0823087  | Fitness: -48.6981
Generation: 12 | 9.90326 0.0823087  | Fitness: -48.6981
Generation: 13 | 9.90326 0.0823087  | Fitness: -48.6981
Generation: 14 | 9.90326 0.0823087  | Fitness: -48.6981
Generation: 15 | 9.88549 0.0821899  | Fitness: -48.7056
Generation: 16 | 9.88263 0.0828031  | Fitness: -48.7056
Generation: 17 | 9.90252 0.0827853  | Fitness: -48.726
Generation: 18 | 9.90252 0.0827853  | Fitness: -48.726
Generation: 19 | 9.89633 0.0832586  | Fitness: -48.7056
Generation: 20 | 9.89633 0.0832586  | Fitness: -48.7056
Generation: 21 | 9.89633 0.0832586  | Fitness: -48.7056
Generation: 22 | 9.89633 0.0832586  | Fitness: -48.7056
Generation: 23 | 9.89078 0.0832428  | Fitness: -48.7056
Generation: 24 | 9.89078 0.0832428  | Fitness: -48.7056
Generation: 25 | 9.89079 0.0832605  | Fitness: -48.7056
Generation: 26 | 9.89079 0.0832605  | Fitness: -48.7056
Generation: 27 | 9.89039 0.083701  | Fitness: -48.6337
Generation: 28 | 9.89039 0.083701  | Fitness: -48.6337
Generation: 29 | 9.89039 0.083701  | Fitness: -48.6337
Generation: 30 | 9.89039 0.083701  | Fitness: -48.6337
Generation: 31 | 9.89039 0.083701  | Fitness: -48.6337
Generation: 32 | 9.88946 0.0837004  | Fitness: -48.6337
Generation: 33 | 9.89017 0.0838075  | Fitness: -48.6337
Generation: 34 | 9.89103 0.0839093  | Fitness: -48.6337
Generation: 35 | 9.8914 0.0839439  | Fitness: -48.625
Generation: 36 | 9.8914 0.0839439  | Fitness: -48.625
Generation: 37 | 9.8914 0.0839439  | Fitness: -48.625
Generation: 38 | 9.8914 0.0839439  | Fitness: -48.625
Generation: 39 | 9.8914 0.0839439  | Fitness: -48.625
Generation: 40 | 9.8914 0.0839439  | Fitness: -48.625
Generation: 41 | 9.8914 0.0839439  | Fitness: -48.625
Generation: 42 | 9.8914 0.0839439  | Fitness: -48.625
Generation: 43 | 9.8914 0.0839439  | Fitness: -48.625
Generation: 44 | 9.90439 0.0851206  | Fitness: -48.6122
Generation: 45 | 9.90439 0.0851206  | Fitness: -48.6122
Generation: 46 | 9.91673 0.0863102  | Fitness: -48.6074
Generation: 47 | 9.91673 0.0863102  | Fitness: -48.6074
Generation: 48 | 9.89222 0.0850327  | Fitness: -48.6074
Generation: 49 | 9.89222 0.0850327  | Fitness: -48.6074
Generation: 50 | 9.89133 0.085024  | Fitness: -48.5344
