Generation: 1 | 19.4472 0.304876  | Fitness: -65.662
Generation: 2 | 14.3691 0.3634  | Fitness: -66.4518
Generation: 3 | 14.3691 0.3634  | Fitness: -66.4518
Generation: 4 | 13.9027 0.558005  | Fitness: -54.3203
Generation: 5 | 14.119 0.567802  | Fitness: -53.0744
Generation: 6 | 13.6938 0.560976  | Fitness: -53.6237
Generation: 7 | 13.2909 0.554408  | Fitness: -54.0685
Generation: 8 | 13.2909 0.554408  | Fitness: -54.0685
Generation: 9 | 13.1547 0.55427  | Fitness: -53.9024
Generation: 10 | 13.1547 0.55427  | Fitness: -53.9024
Generation: 11 | 12.8141 0.555944  | Fitness: -53.1921
Generation: 12 | 12.8477 0.556568  | Fitness: -53.118
Generation: 13 | 12.8477 0.556568  | Fitness: -53.118
Generation: 14 | 12.8477 0.556568  | Fitness: -53.118
Generation: 15 | 12.8477 0.556568  | Fitness: -53.118
Generation: 16 | 12.8556 0.557464  | Fitness: -53.0026
Generation: 17 | 12.8556 0.557464  | Fitness: -53.0026
Generation: 18 | 12.8556 0.557464  | Fitness: -53.0026
Generation: 19 | 12.4116 0.53823  | Fitness: -54.8972
Generation: 20 | 11.7468 0.521967  | Fitness: -55.535
Generation: 21 | 11.7468 0.521967  | Fitness: -55.535
Generation: 22 | 11.783 0.523254  | Fitness: -55.5004
Generation: 23 | 11.783 0.523254  | Fitness: -55.5004
Generation: 24 | 11.3607 0.5045  | Fitness: -56.5152
Generation: 25 | 11.0153 0.489163  | Fitness: -57.0052
Generation: 26 | 11.0153 0.489163  | Fitness: -57.0052
Generation: 27 | 11.0153 0.489163  | Fitness: -57.0052
Generation: 28 | 11.0153 0.489163  | Fitness: -57.0052
Generation: 29 | 11.0157 0.489201  | Fitness: -56.9895
Generation: 30 | 10.6209 0.471668  | Fitness: -57.1274
Generation: 31 | 10.6351 0.472296  | Fitness: -57.1725
Generation: 32 | 10.7038 0.475473  | Fitness: -57.155
Generation: 33 | 10.6657 0.473693  | Fitness: -57.1232
Generation: 34 | 10.675 0.474191  | Fitness: -57.1583
Generation: 35 | 10.675 0.474191  | Fitness: -57.1583
Generation: 36 | 10.6498 0.473009  | Fitness: -57.1431
Generation: 37 | 10.6376 0.472469  | Fitness: -57.1651
Generation: 38 | 10.6521 0.473146  | Fitness: -57.136
Generation: 39 | 10.6732 0.474263  | Fitness: -57.1594
Generation: 40 | 10.6732 0.474263  | Fitness: -57.1594
Generation: 41 | 10.6732 0.474263  | Fitness: -57.1594
Generation: 42 | 10.6732 0.474263  | Fitness: -57.1594
Generation: 43 | 10.6708 0.474051  | Fitness: -57.1642
Generation: 44 | 10.6702 0.474003  | Fitness: -57.1642
Generation: 45 | 10.67 0.473999  | Fitness: -57.1642
Generation: 46 | 10.67 0.473999  | Fitness: -57.1642
Generation: 47 | 10.67 0.473999  | Fitness: -57.1642
Generation: 48 | 10.67 0.473999  | Fitness: -57.1642
Generation: 49 | 10.67 0.473999  | Fitness: -57.1642
Generation: 50 | 10.67 0.473999  | Fitness: -57.1642
