Generation: 1 | 16.3793 0.422555  | Fitness: -72.3586
Generation: 2 | 17.114 0.347817  | Fitness: -69.8353
Generation: 3 | 17.114 0.347817  | Fitness: -69.8353
Generation: 4 | 17.114 0.347817  | Fitness: -69.8353
Generation: 5 | 17.114 0.347817  | Fitness: -69.8353
Generation: 6 | 17.114 0.347817  | Fitness: -69.8353
Generation: 7 | 16.7892 0.34334  | Fitness: -68.7433
Generation: 8 | 16.1776 0.356352  | Fitness: -69.2101
Generation: 9 | 16.1776 0.356352  | Fitness: -69.2101
Generation: 10 | 16.4388 0.34854  | Fitness: -68.816
Generation: 11 | 16.2246 0.354742  | Fitness: -69.1463
Generation: 12 | 16.2246 0.354742  | Fitness: -69.1463
Generation: 13 | 16.2246 0.354742  | Fitness: -69.1463
Generation: 14 | 15.9201 0.360259  | Fitness: -69.157
Generation: 15 | 15.9201 0.360259  | Fitness: -69.157
Generation: 16 | 15.9305 0.365379  | Fitness: -69.6113
Generation: 17 | 15.9305 0.365379  | Fitness: -69.6113
Generation: 18 | 16.0502 0.3868  | Fitness: -71.235
Generation: 19 | 16.0502 0.3868  | Fitness: -71.235
Generation: 20 | 16.0281 0.385485  | Fitness: -71.1974
Generation: 21 | 15.9544 0.384099  | Fitness: -70.9591
Generation: 22 | 15.7348 0.404464  | Fitness: -71.1534
Generation: 23 | 15.7348 0.404464  | Fitness: -71.1534
Generation: 24 | 15.7348 0.404464  | Fitness: -71.1534
Generation: 25 | 15.8292 0.421678  | Fitness: -71.2616
Generation: 26 | 15.8246 0.420978  | Fitness: -71.2855
Generation: 27 | 15.7112 0.403238  | Fitness: -71.1049
Generation: 28 | 15.7109 0.403249  | Fitness: -71.1103
Generation: 29 | 15.7109 0.403258  | Fitness: -71.1158
Generation: 30 | 15.6988 0.403225  | Fitness: -71.0688
Generation: 31 | 15.6985 0.403208  | Fitness: -71.0723
Generation: 32 | 15.6985 0.403208  | Fitness: -71.0723
Generation: 33 | 15.6719 0.402277  | Fitness: -71.0151
Generation: 34 | 15.6439 0.401817  | Fitness: -70.9207
Generation: 35 | 15.6439 0.401817  | Fitness: -70.9207
Generation: 36 | 15.6439 0.401817  | Fitness: -70.9207
Generation: 37 | 15.6439 0.401817  | Fitness: -70.9207
Generation: 38 | 15.8001 0.423257  | Fitness: -71.209
Generation: 39 | 15.7415 0.421167  | Fitness: -71.1256
Generation: 40 | 15.7415 0.421167  | Fitness: -71.1256
Generation: 41 | 15.7415 0.421167  | Fitness: -71.1256
Generation: 42 | 15.6705 0.41882  | Fitness: -70.9722
Generation: 43 | 15.6705 0.41882  | Fitness: -70.9722
Generation: 44 | 15.6705 0.41882  | Fitness: -70.9722
Generation: 45 | 15.6705 0.41882  | Fitness: -70.9722
Generation: 46 | 15.6681 0.418742  | Fitness: -70.988
Generation: 47 | 15.6661 0.418691  | Fitness: -70.9902
Generation: 48 | 15.6661 0.418691  | Fitness: -70.9902
Generation: 49 | 15.6369 0.418504  | Fitness: -70.9555
Generation: 50 | 15.5818 0.417643  | Fitness: -70.8303
