Generation: 1 | 16.5326 0.447975  | Fitness: -71.4757
Generation: 2 | 15.3793 0.357562  | Fitness: -67.9141
Generation: 3 | 15.4256 0.365201  | Fitness: -68.6537
Generation: 4 | 15.4239 0.364927  | Fitness: -68.6154
Generation: 5 | 15.4239 0.364927  | Fitness: -68.6154
Generation: 6 | 15.4239 0.364927  | Fitness: -68.6154
Generation: 7 | 15.1292 0.389593  | Fitness: -69.5253
Generation: 8 | 15.0363 0.389086  | Fitness: -69.283
Generation: 9 | 15.1397 0.365812  | Fitness: -68.1602
Generation: 10 | 15.0235 0.355175  | Fitness: -66.9291
Generation: 11 | 15.0235 0.355175  | Fitness: -66.9291
Generation: 12 | 15.0051 0.365419  | Fitness: -67.8457
Generation: 13 | 15.0051 0.365419  | Fitness: -67.8457
Generation: 14 | 15.0051 0.365419  | Fitness: -67.8457
Generation: 15 | 15.0051 0.365419  | Fitness: -67.8457
Generation: 16 | 14.9629 0.364124  | Fitness: -67.6663
Generation: 17 | 14.9674 0.387147  | Fitness: -69.1069
Generation: 18 | 15.0761 0.386047  | Fitness: -69.2767
Generation: 19 | 15.0722 0.387108  | Fitness: -69.2764
Generation: 20 | 15.0722 0.387108  | Fitness: -69.2764
Generation: 21 | 15.0722 0.387108  | Fitness: -69.2764
Generation: 22 | 15.0722 0.387108  | Fitness: -69.2764
Generation: 23 | 14.7196 0.393219  | Fitness: -68.7639
Generation: 24 | 14.7941 0.397426  | Fitness: -69.0057
Generation: 25 | 14.7708 0.396209  | Fitness: -68.9643
Generation: 26 | 14.7708 0.396209  | Fitness: -68.9643
Generation: 27 | 14.6911 0.391353  | Fitness: -68.6781
Generation: 28 | 14.6911 0.391353  | Fitness: -68.6781
Generation: 29 | 14.8628 0.411555  | Fitness: -69.3822
Generation: 30 | 14.7346 0.408856  | Fitness: -69.1094
Generation: 31 | 14.7135 0.407205  | Fitness: -69.0534
Generation: 32 | 14.7135 0.407205  | Fitness: -69.0534
Generation: 33 | 14.6811 0.406352  | Fitness: -68.974
Generation: 34 | 14.8718 0.427629  | Fitness: -69.2134
Generation: 35 | 14.6907 0.406328  | Fitness: -68.9823
Generation: 36 | 14.6656 0.404798  | Fitness: -68.9398
Generation: 37 | 14.8502 0.425395  | Fitness: -69.2223
Generation: 38 | 14.6248 0.433596  | Fitness: -68.4708
Generation: 39 | 14.6142 0.432867  | Fitness: -68.5146
Generation: 40 | 14.604 0.432084  | Fitness: -68.5035
Generation: 41 | 14.604 0.432084  | Fitness: -68.5035
Generation: 42 | 14.6026 0.431842  | Fitness: -68.5191
Generation: 43 | 14.5888 0.430499  | Fitness: -68.529
Generation: 44 | 14.5888 0.430499  | Fitness: -68.529
Generation: 45 | 14.5888 0.430499  | Fitness: -68.529
Generation: 46 | 14.5888 0.430499  | Fitness: -68.529
Generation: 47 | 14.5888 0.430499  | Fitness: -68.529
Generation: 48 | 14.5503 0.428032  | Fitness: -68.4988
Generation: 49 | 14.5418 0.427609  | Fitness: -68.4826
Generation: 50 | 14.5355 0.427642  | Fitness: -68.467
