Generation: 1 | 18.2087 0.433517  | Fitness: -75.1979
Generation: 2 | 14.7349 0.435965  | Fitness: -68.5996
Generation: 3 | 14.7293 0.43003  | Fitness: -68.8229
Generation: 4 | 14.2013 0.414617  | Fitness: -67.9264
Generation: 5 | 14.2013 0.414617  | Fitness: -67.9264
Generation: 6 | 13.9013 0.41994  | Fitness: -67.1954
Generation: 7 | 13.9013 0.41994  | Fitness: -67.1954
Generation: 8 | 13.9013 0.41994  | Fitness: -67.1954
Generation: 9 | 13.9593 0.428762  | Fitness: -67.2069
Generation: 10 | 13.6989 0.405592  | Fitness: -66.7616
Generation: 11 | 13.9247 0.426896  | Fitness: -67.1532
Generation: 12 | 13.8926 0.425938  | Fitness: -67.075
Generation: 13 | 13.8926 0.425938  | Fitness: -67.075
Generation: 14 | 13.8926 0.425938  | Fitness: -67.075
Generation: 15 | 13.8926 0.425938  | Fitness: -67.075
Generation: 16 | 13.8791 0.425608  | Fitness: -67.0799
Generation: 17 | 13.8492 0.424642  | Fitness: -67.0341
Generation: 18 | 13.8492 0.424642  | Fitness: -67.0341
Generation: 19 | 13.8264 0.423501  | Fitness: -66.9668
Generation: 20 | 13.8253 0.423485  | Fitness: -66.9668
Generation: 21 | 13.8053 0.422894  | Fitness: -66.9683
Generation: 22 | 13.8053 0.422894  | Fitness: -66.9683
Generation: 23 | 13.7664 0.421836  | Fitness: -66.9315
Generation: 24 | 13.7564 0.426865  | Fitness: -66.7633
Generation: 25 | 13.7564 0.426865  | Fitness: -66.7633
Generation: 26 | 13.7533 0.426621  | Fitness: -66.7505
Generation: 27 | 13.749 0.426342  | Fitness: -66.7597
Generation: 28 | 13.4387 0.419357  | Fitness: -66.1099
Generation: 29 | 13.4334 0.419098  | Fitness: -66.1435
Generation: 30 | 13.644 0.437736  | Fitness: -66.1646
Generation: 31 | 13.6364 0.437068  | Fitness: -66.2004
Generation: 32 | 13.6367 0.437092  | Fitness: -66.2091
Generation: 33 | 13.637 0.437114  | Fitness: -66.1933
Generation: 34 | 13.6362 0.437046  | Fitness: -66.196
Generation: 35 | 13.6294 0.436449  | Fitness: -66.2243
Generation: 36 | 13.6294 0.436449  | Fitness: -66.2243
Generation: 37 | 13.6057 0.435351  | Fitness: -66.212
Generation: 38 | 13.6057 0.435351  | Fitness: -66.212
Generation: 39 | 13.6057 0.435351  | Fitness: -66.212
Generation: 40 | 13.6059 0.435388  | Fitness: -66.2201
Generation: 41 | 13.6062 0.43542  | Fitness: -66.2344
Generation: 42 | 13.583 0.435111  | Fitness: -66.1663
Generation: 43 | 13.5858 0.435402  | Fitness: -66.1649
Generation: 44 | 13.5858 0.435402  | Fitness: -66.1649
Generation: 45 | 13.5858 0.435402  | Fitness: -66.1649
Generation: 46 | 13.5858 0.435439  | Fitness: -66.1639
Generation: 47 | 13.5858 0.435439  | Fitness: -66.1639
Generation: 48 | 13.5858 0.435439  | Fitness: -66.1639
Generation: 49 | 13.5858 0.435439  | Fitness: -66.1639
Generation: 50 | 13.5852 0.435421  | Fitness: -66.1626
